Variable,Value,Count,Proportion
PTRATIO,"(14.48, 15.42]",58.0,0.11462450592885376
PTRATIO,"(19.18, 20.12]",40.0,0.07905138339920949
PTRATIO,"(16.36, 17.3]",36.0,0.07114624505928854
PTRATIO,"(21.06, 22.0]",18.0,0.03557312252964427
PTRATIO,"(15.42, 16.36]",15.0,0.029644268774703556
PTRATIO,"(12.59, 13.54]",15.0,0.029644268774703556
PTRATIO,"(13.54, 14.48]",2.0,0.003952569169960474
B,"(357.242, 396.9]",413.0,0.8162055335968379
B,"(317.584, 357.242]",33.0,0.06521739130434782
B,"(-0.0776, 39.978]",18.0,0.03557312252964427
B,"(277.926, 317.584]",11.0,0.021739130434782608
B,"(79.636, 119.294]",10.0,0.019762845849802372
B,"(238.268, 277.926]",7.0,0.01383399209486166
B,"(39.978, 79.636]",6.0,0.011857707509881422
B,"(198.61, 238.268]",3.0,0.005928853754940711
B,"(158.952, 198.61]",3.0,0.005928853754940711
B,"(119.294, 158.952]",2.0,0.003952569169960474
LSTAT,"(5.354, 8.978]",108.0,0.2134387351778656
LSTAT,"(8.978, 12.602]",99.0,0.1956521739130435
LSTAT,"(12.602, 16.226]",84.0,0.16600790513833993
LSTAT,"(1.693, 5.354]",75.0,0.1482213438735178
LSTAT,"(16.226, 19.85]",64.0,0.12648221343873517
LSTAT,"(19.85, 23.474]",30.0,0.05928853754940711
LSTAT,"(23.474, 27.098]",21.0,0.041501976284584984
LSTAT,"(27.098, 30.722]",16.0,0.03162055335968379
LSTAT,"(34.346, 37.97]",5.0,0.009881422924901186
LSTAT,"(30.722, 34.346]",4.0,0.007905138339920948
